METHOD,DEGREE,CORES,STRESS
Newton,1,1,5e4
Newton,1,1,1e4
Newton,1,1,5e4
Newton,1,2,5e4
Newton,1,2,1e4
Newton,1,2,5e4
Newton,1,4,5e4
Newton,1,4,1e4
Newton,1,4,5e4
Newton,1,6,5e4
Newton,1,6,1e4
Newton,1,6,5e4
Newton,1,8,5e4
Newton,1,8,1e4
Newton,1,8,5e4
Newton,1,16,5e4
Newton,1,16,1e4
Newton,1,16,5e4
BFGS,1,1,5e4
BFGS,1,1,1e4
BFGS,1,1,5e4
BFGS,1,2,5e4
BFGS,1,2,1e4
BFGS,1,2,5e4
BFGS,1,4,5e4
BFGS,1,4,1e4
BFGS,1,4,5e4
BFGS,1,6,5e4
BFGS,1,6,1e4
BFGS,1,6,5e4
BFGS,1,8,5e4
BFGS,1,8,1e4
BFGS,1,8,5e4
BFGS,1,16,5e4
BFGS,1,16,1e4
BFGS,1,16,5e4
Newton,2,1,5e4
Newton,2,1,1e4
Newton,2,1,5e4
Newton,2,2,5e4
Newton,2,2,1e4
Newton,2,2,5e4
Newton,2,4,5e4
Newton,2,4,1e4
Newton,2,4,5e4
Newton,2,6,5e4
Newton,2,6,1e4
Newton,2,6,5e4
Newton,2,8,5e4
Newton,2,8,1e4
Newton,2,8,5e4
Newton,2,16,5e4
Newton,2,16,1e4
Newton,2,16,5e4
BFGS,2,1,5e4
BFGS,2,1,1e4
BFGS,2,1,5e4
BFGS,2,2,5e4
BFGS,2,2,1e4
BFGS,2,2,5e4
BFGS,2,4,5e4
BFGS,2,4,1e4
BFGS,2,4,5e4
BFGS,2,6,5e4
BFGS,2,6,1e4
BFGS,2,6,5e4
BFGS,2,8,5e4
BFGS,2,8,1e4
BFGS,2,8,5e4
BFGS,2,16,5e4
BFGS,2,16,1e4
BFGS,2,16,5e4
